id,followers,following,message_out,message_in,membership,level,region,gold,silver,bronze,hm
402,10,22,2,0,Free,"emerald cat",Rhode Island,0,0,0,0
403,56,47,698,527,Free,"topaz horse",Pennsylvania,1,2,3,24
404,14,14,63,95,Free,"topaz horse",Texas,0,0,0,0
405,337,314,4596,3301,silver,"lyric diamond",Arizona,32,36,30,120
406,29,21,58,125,Free,None,None,0,0,0,0
407,65,46,761,643,Free,"whimsical widget",,4,4,1,4
408,42,58,94,86,Free,"topaz horse",Pennsylvania,0,1,0,0
409,20,54,70,44,Free,"topaz horse",None,0,1,0,2
410,59,10,719,429,Free,"topaz horse",None,0,0,0,0
411,32,10,10,52,Free,"emerald cat",New York,0,0,0,0
412,82,111,602,454,Free,"onyx dragon",,3,4,9,34
413,128,165,478,840,gold,"moonstone path",Florida,5,4,1,21
414,665,708,22987,2614,Free,"hopeful shadows",None,121,141,133,301
415,534,184,5832,6216,gold,"white rain",None,120,121,115,345
416,144,112,1830,2014,Free,"supertopaz delight",Pennsylvania,88,53,47,117
417,37,128,40,34,Free,"topaz horse",,0,0,0,0
418,178,262,1057,658,Free,None,North Carolina,0,0,0,0
419,328,101,2193,3245,silver,None,California,0,0,0,0
420,42,53,406,676,Free,"diamond love",Florida,2,4,7,18
421,523,332,13290,4764,gold,"obsidian idea",None,2,2,2,17
422,48,83,319,248,Free,"perfect palomino",Illinois,0,0,0,0
423,139,230,943,313,gold,None,Arkansas,0,0,0,0
424,8,15,14,35,Free,"topaz horse",Massachusetts,0,0,0,0
425,32,15,32,92,Free,"topaz horse",Illinois,1,0,0,0
426,15,24,61,36,Free,"topaz horse",,0,0,0,0
427,89,232,356,240,Free,"topaz horse",Virginia,4,1,1,9
428,1494,763,20751,25055,gold,"perfect palomino",New York,116,141,164,462
429,95,79,302,603,Free,"diamond love",None,2,9,6,34
430,1740,1933,17167,15618,Free,None,None,11,9,21,113
431,166,340,509,543,Free,"aventurine thought",South Carolina,7,0,1,1
432,37,52,217,154,Free,"perfect palomino",,5,4,1,7
433,252,269,1564,1343,Free,"aventurine thought",None,1,2,1,5
434,5,14,30,30,Free,"topaz horse",None,0,0,0,0
435,247,214,5880,2775,Free,"new dragon",,38,29,41,133
436,61,37,462,365,Free,"citrine experience",None,2,5,8,20
437,339,52,2909,5600,gold,None,South Carolina,82,73,95,325
438,254,311,4883,2912,Free,"unending moment",None,28,32,27,90
439,187,117,1574,1276,Free,"diamond love",None,4,2,2,6
440,34,86,229,135,Free,"topaz horse",,0,0,1,1
441,39,52,81,68,Free,"topaz horse",,0,0,0,0
442,26,54,89,66,Free,"stunning sphinx",None,1,0,1,2
443,303,296,988,2541,gold,None,Washington,0,0,0,0
444,1847,406,27132,14438,silver,"dancing dragon",None,158,89,96,176
445,252,297,438,1046,gold,"moonstone path",Pennsylvania,18,14,7,20
446,16,18,16,20,Free,"emerald cat",None,0,0,0,0
447,482,2380,158,200,Free,"topaz horse",,0,0,0,0
448,21,8,130,163,gold,"topaz horse",None,0,0,0,0
449,422,124,10080,6594,gold,None,,0,0,0,0
450,7,14,9,22,Free,"topaz horse",None,0,0,0,0
451,12,12,44,44,Free,"emerald cat",,0,0,0,0
452,44,61,327,165,Free,"stunning sphinx",,0,0,1,0
453,112,126,206,217,Free,"supertopaz delight",Michigan,1,2,6,10
454,675,925,5073,7028,silver,"top gun",Colorado,113,123,148,538
455,32,30,37,110,Free,"perfect palomino",None,0,2,2,5
456,1237,373,70713,39725,gold,"electric lightning",None,821,859,864,2002
457,683,249,10968,1974,Free,"supertopaz delight",Illinois,2,4,2,35
458,8,27,27,23,Free,"topaz horse",,0,0,0,0
459,88,54,2305,1320,Free,"perfect palomino",Massachusetts,0,1,1,1
460,33,27,53,131,Free,"emerald cat",Ohio,0,0,0,0
461,147,144,1397,1045,Free,"lyric diamond",North Carolina,32,28,24,54
462,613,582,15800,17843,gold,"onyx dragon",New York,208,227,236,686
463,13,16,45,31,Free,"topaz horse",New York,0,0,0,0
464,10,12,31,24,Free,"topaz horse",,0,0,0,0
465,331,80,6603,5075,gold,None,,57,40,26,45
466,6,10,18,15,Free,"emerald cat",None,0,0,0,0
467,1472,350,26564,2861,Free,"apple",None,56,71,43,176
468,2,2,3,4,Free,"emerald cat",Pennsylvania,0,0,0,0
469,50,42,309,178,Free,None,,0,0,0,0
470,19,10,772,628,Free,None,California,6,5,2,9
471,119,60,558,568,Free,"stunning sphinx",Missouri,1,0,0,0
472,135,205,461,705,Free,"jade dragon",None,7,6,16,31
473,493,601,5520,6397,gold,"fortunate ",North Carolina,112,149,154,666
474,318,107,5892,4592,Free,"lyric diamond",None,20,14,14,51
475,61,64,834,434,Free,None,None,0,0,0,0
476,87,106,948,281,Free,"citrine experience",,3,4,3,21
477,251,252,1731,941,gold,"peregrine dream",Kentucky,6,5,5,15
478,27,17,36,44,Free,"emerald cat",Wisconsin,0,0,0,0
479,9,55,8,5,Free,"emerald cat",,0,0,0,0
480,91,123,355,489,Free,"diamond love",None,23,24,24,81
481,64,111,252,328,Free,"citrine experience",None,4,6,3,20
482,395,184,6875,124,Free,"perfect palomino",None,26,36,42,205
483,38,69,115,73,Free,"topaz horse",Ohio,1,0,0,0
484,460,416,3770,5917,gold,"onyx dragon",Arizona,51,51,46,105
485,489,55,29415,29840,gold,None,None,0,0,0,0
486,128,118,550,375,Free,None,,0,0,0,1
487,635,492,1182,4275,gold,"hyperbolic pebble",New Jersey,227,191,189,413
488,138,52,403,1499,gold,"perfect palomino",None,0,0,0,0
489,209,57,978,1207,Free,None,None,33,17,14,19
490,22,10,157,79,Free,"perfect palomino",Wisconsin,0,0,0,3
